Left Error, Right Error
0,0
190,190
190,190
190,190
190,190
190,190
190,190
190,190
190,190
190,190
156,167
167,178
178,190
190,167
167,156
156,156
156,156
156,134
145,145
145,156
134,134
134,123
134,134
134,112
123,123
123,112
112,123
112,89
106,117
123,89
101,101
89,89
89,89
101,67
89,112
89,78
78,78
89,78
78,78
89,78
67,45
89,78
78,67
67,45
67,78
67,45
67,56
56,67
56,45
78,56
56,45
56,34
45,56
67,34
34,34
45,45
56,34
45,34
34,45
56,12
56,45
34,23
56,12
34,34
34,23
34,12
34,45
34,1
34,34
23,12
45,23
34,12
23,23
23,1
34,23
23,12
34,12
23,1
34,12
12,23
12,-10
34,23
23,-21
12,23
23,1
12,-21
33,33
34,-10
12,23
12,-32
23,23
12,1
23,-21
12,34
12,-32
23,23
12,-21
12,12
12,1
12,-21
23,34
1,-43
12,23
12,-32
12,12
12,-10
12,-10
12,12
12,-32
12,23
-10,-32
23,12
1,-10
1,-21
23,12
1,-21
12,12
12,1
1,-10
1,-21
12,-10
-7,-18
23,23
-10,-32
12,1
1,-21
1,-21
12,23
-10,-54
23,34
1,-32
12,1
-10,1
12,1
1,-32
1,-10
12,-10
-10,1
12,1
1,1
1,-10
-10,-21
12,1
12,-43
-10,12
1,-10
1,-10
-10,1
12,-21
1,1
-21,-43
23,23
1,-10
12,-21
1,-10
-10,-10
12,1
-10,-21
1,12
12,-21
-10,12
1,-32
-10,1
12,-32
1,12
1,-10
-10,-21
-10,1
1,-10
1,1
-10,-32
1,1
1,1
-10,-21
12,12
-10,-10
12,1
-10,-10
34,12
34,34
12,23
45,45
45,34
23,-10
45,45
12,12
23,23
54,23
-10,23
23,34
67,1
12,12
23,12
23,12
12,45
34,-10
23,23
23,1
12,1
23,23
12,1
23,23
12,1
23,1
23,12
23,1
12,34
23,-21
12,12
12,-10
12,-10
23,12
1,-10
12,12
12,-21
12,12
12,12
12,-10
12,12
12,-10
23,1
1,-10
12,12
12,-21
1,1
12,1
1,-21
1,12
23,-43
12,23
1,-21
1,-21
12,23
-10,-21
23,12
1,-54
-10,34
34,-21
-10,-10
12,1
12,1
1,1
1,-21
1,12
1,-10
12,-10
-10,-10
12,12
-10,-32
12,1
12,-21
-21,-21
23,12
1,-32
12,34
12,-21
-32,-10
12,-10
-10,-10
23,-7
-10,1
1,-21
12,12
12,-10
-21,-10
12,-10
-10,-10
1,12
1,-32
12,12
-10,-10
1,-32
1,12
-10,-21
1,34
1,-43
12,34
-10,-10
1,-21
-10,12
1,-10
1,12
1,-21
1,23
-10,-10
1,-21
1,12
1,-32
-10,23
12,-32
-10,23
12,-21
1,12
-10,-10
-10,-21
1,23
1,-32
1,23
1,1
-10,1
-10,12
12,-10
-10,23
-10,-32
12,23
-10,-10
1,-10
1,12
-10,-21
-10,23
12,-32
-10,23
12,-21
-10,1
-10,12
-10,-21
-10,23
12,-32
1,23
1,-10
-32,1
12,12
-10,-21
1,12
1,1
12,12
-10,-10
-10,-10
-10,1
1,-21
1,23
-10,-21
1,12
1,-10
-10,-10
-10,23
1,-21
1,12
1,-10
-10,1
-10,1
1,-10
-10,12
-10,1
12,12
-10,1
1,12
1,-32
-10,23
-10,-10
1,-10
1,12
-10,-21
12,23
-10,-10
-10,23
-10,-10
1,1
1,1
1,-10
-21,12
-10,12
12,-10
-10,-10
-10,12
-10,1
12,1
12,23
-21,-21
1,12
-10,1
-10,-10
12,23
-10,-21
12,23
-32,-32
1,1
1,34
-10,-21
1,23
1,-21
-10,12
1,12
-10,-10
-10,12
-10,-10
12,23
1,-21
1,23
-10,-10
-21,-10
12,12
-10,-21
1,34
1,-10
-10,-10
-10,1
-10,-10
1,23
1,-10
1,34
-10,-32
12,1
1,1
-10,1
1,1
-21,1
-10,12
12,-10
-10,12
12,1
-10,1
-10,12
1,-21
-10,23
1,-21
1,1
-10,12
1,-10
-10,12
1,1
1,12
-21,-10
-10,1
12,-10
-10,-10
-21,23
12,-10
12,12
45,45
45,23
12,45
34,1
45,56
23,34
34,12
34,34
12,34
56,1
34,67
23,-10
23,23
23,34
34,12
34,34
34,12
12,1
23,34
23,1
23,12
34,34
23,12
1,23
45,1
34,23
12,-10
1,12
23,12
12,23
12,-32
23,34
23,-21
12,45
23,-32
1,23
23,1
12,-10
12,23
12,-32
12,34
12,-10
1,1
23,1
12,-21
-10,23
23,-21
12,12
1,1
12,-10
12,12
1,-43
1,23
12,-32
12,23
12,-32
1,1
1,12
12,-32
-10,12
23,-32
1,23
1,-32
1,12
12,-21
1,12
-21,-32
12,1
23,-10
1,-21
-10,12
23,-43
1,23
1,-54
12,34
1,-32
1,-21
1,12
1,-43
12,12
-10,-21
12,1
1,-21
-10,1
1,-10
1,-10
1,-32
1,23
-10,-43
12,-10
12,23
12,-54
1,23
-10,-43
12,23
-10,-43
12,-10
-10,1
1,-21
1,-10
1,1
12,-10
-10,-10
12,12
-10,-32
1,12
-10,-32
1,12
-10,-21
12,-32
12,23
1,-32
-10,12
-10,-43
12,23
-10,-32
1,34
1,-21
-10,12
1,-21
1,1
-10,-10
1,-10
1,1
1,-21
-10,1
1,-21
-10,23
12,-10
-10,-10
-10,23
12,-32
12,1
-21,1
1,-10
-10,1
1,-10
1,12
-10,1
12,1
-21,-10
12,-10
1,1
-10,12
12,12
-10,-21
-21,23
12,-32
-10,12
12,1
-10,-10
23,12
-10,-10
1,12
-21,-32
12,23
-10,-32
1,1
1,12
1,-21
1,34
-21,-32
1,12
1,1
